,coal,lignite,oil,gas
2013-11-01,9.45248739787937,6.301658265252914,79.51763401109055,42.356146568954024
2013-12-01,9.407432643838,6.2716217625586665,80.03489833641403,42.51731912058627
2014-01-01,9.317323135755261,6.211548757170173,78.8592975970425,42.61402265156561
2014-02-01,9.110071267164958,6.073380844776639,79.04739371534194,42.356146568954024
2014-03-01,9.010950808273947,6.0073005388492975,77.68369685767097,40.58324850099933
2014-04-01,8.992928906657397,5.995285937771598,77.44857670979665,38.61694337108594
2014-05-01,8.740622284025727,5.827081522683819,78.57715341959333,36.81181079280479
2014-06-01,8.79468798887537,5.863125325916914,80.45811460258778,35.68360293137908
2014-07-01,8.785677038067098,5.857118025378065,77.58964879852124,33.52389073950699
2014-08-01,8.911830349382933,5.941220232921955,75.80273567467651,32.58908994003997
2014-09-01,9.101060316356685,6.06737354423779,74.81523105360442,34.007408394403726
2014-10-01,9.146115070398055,6.097410046932037,69.54853974121995,37.68214257161892
2014-11-01,9.254246480097343,6.169497653398229,63.435415896487974,38.0689566955363
2014-12-01,9.173147922822876,6.115431948548585,51.53833641404805,37.94001865423051
2015-01-01,9.092049365548412,6.0613662436989415,41.09900184842883,36.81181079280479
2015-02-01,9.416443594646273,6.277629063097516,49.610351201478736,34.03964290473017
2015-03-01,9.713804971319313,6.475869980879542,50.69190388170055,34.9744437041972
2015-04-01,9.713804971319313,6.475869980879542,54.78299445471348,33.36271818787475
2015-05-01,9.371388840604904,6.24759256040327,56.7109796672828,32.91143504330446
2015-06-01,9.092049365548412,6.0613662436989415,54.50085027726432,32.20227581612258
2015-07-01,9.209191726055973,6.139461150703982,51.16214417744916,31.750992671552293
2015-08-01,8.67754562836781,5.785030418911873,43.779371534195924,31.686523650899392
2015-09-01,8.49732661220233,5.6648844081348875,42.97996303142328,30.558315789473678
2015-10-01,8.443260907352688,5.628840604901792,43.026987060998145,29.94586009327115
2015-11-01,8.63249087432644,5.754993916217627,40.111497227356736,29.526811459027307
2015-12-01,8.281063792803756,5.520709195202505,35.78528650646949,29.011059293804127
2016-01-01,7.5962315313749365,5.064154354249958,28.966802218114598,27.915085942704856
2016-02-01,7.416012515209458,4.944008343472971,28.778706099815153,25.690904730179877
2016-03-01,7.397990613592909,4.931993742395273,33.62218114602587,26.303360426382405
2016-04-01,7.316892056318444,4.8779280375456295,35.691238447319776,25.110683544303797
2016-05-01,7.379968711976362,4.919979141317575,40.1585212569316,24.9172764823451
2016-06-01,7.731395793499045,5.154263862332697,42.133530499075775,25.981015323117916
2016-07-01,8.163921432296194,5.442614288197463,40.25256931608132,26.754643570952695
2016-08-01,8.443260907352688,5.628840604901792,40.299593345656184,26.690174550299794
2016-09-01,8.641501825134714,5.761001216756476,39.923401109057295,25.85207728181212
2016-10-01,10.227429167390929,6.818286111593952,43.497227356746755,27.431568287808123
2016-11-01,11.840389362071965,7.893592908047977,41.89841035120147,29.268935376415715
2016-12-01,13.300163393012344,8.866775595341563,48.81094269870609,31.267475016655556
2017-01-01,13.183021032504785,8.788680688336523,50.55083179297596,30.07479813457694
2017-02-01,13.363240048670264,8.908826699113508,50.87999999999999,30.751722851432376
2017-03-01,13.137966278463415,8.758644185642277,48.10558225508317,30.84842638241172
2017-04-01,12.966758213106209,8.64450547540414,48.66987060998151,29.397873417721517
2017-05-01,12.14676168955328,8.097841126368854,45.7543807763401,29.268935376415715
2017-06-01,12.633353033200072,8.422235355466714,41.71031423290203,28.398603597601593
2017-07-01,12.8315939509821,8.5543959673214,42.08650646950092,27.850616922051962
2017-08-01,12.272915000869114,8.181943333912741,43.63829944547134,27.689444370419718
2017-09-01,12.30895880410221,8.20597253606814,46.412717190388165,28.656479680213188
2017-10-01,12.74148444289936,8.494322961932907,47.823438077634,29.23670086608927
2017-11-01,12.534232574309058,8.356155049539373,52.43179297597042,30.042563624250494
2017-12-01,12.624342082391797,8.416228054927865,53.748465804066534,31.13853697534976
2018-01-01,12.579287328350429,8.386191552233619,56.381811460258774,32.685793471019316
2018-02-01,12.317969754910482,8.21197983660699,53.32524953789278,30.558315789473678
2018-03-01,12.26390405006084,8.175936033373894,52.52584103512014,31.13853697534976
2018-04-01,12.552254475925608,8.368169650617071,56.287763401109046,31.364178547634904
2018-05-01,12.85862680340692,8.572417868937947,62.541959334565604,32.42791738840772
2018-06-01,12.903681557448289,8.602454371632193,62.35386321626616,34.394222518321115
2018-07-01,13.399283851903357,8.932855901268905,62.3068391866913,34.58762958027981
2018-08-01,13.174010081696508,8.782673387797672,61.55445471349352,34.716567621585604
2018-09-01,13.282141491395796,8.854760994263865,65.50447319778188,36.005948034643566
2018-10-01,13.624557622110204,9.083038414740138,68.2788909426987,40.00302731512324
2018-11-01,13.354229097861987,8.902819398574659,58.780036968576695,40.51877948034643
2018-12-01,13.543459064835742,9.028972709890494,52.19667282809611,38.81035043304463
2019-01-01,13.020823917955852,8.680549278637235,52.996081330868755,36.392762158560956
2019-02-01,12.642363984008346,8.428242656005565,56.33478743068391,33.556125249833435
2019-03-01,12.299947853293936,8.199965235529291,58.35682070240294,30.84842638241172
2019-04-01,11.552038936207198,7.701359290804798,61.883622920517546,28.882121252498326
2019-05-01,11.53401703459065,7.6893446897271005,64.23482439926062,27.10922318454363
2019-06-01,10.885228576394926,7.256819050929951,58.1687245841035,24.56269686875416
2019-07-01,11.362808969233445,7.575205979488963,57.322292051756,22.82203331112591
2019-08-01,10.569845298105339,7.046563532070225,54.26573012939001,22.30628114590273
2019-09-01,10.921272379628023,7.280848253085349,56.24073937153418,24.17588274483677
2019-10-01,10.795119068312188,7.196746045541458,56.24073937153418,25.013980013324446
2019-11-01,9.95710064314271,6.6380670954284735,58.309796672828085,28.559776149233837
2019-12-01,9.650728315661395,6.433818877107597,61.36635859519407,27.431568287808123
